学生番号,(1),(2)
001,1762.2,4.0895
002,1656.2,4.1652
003,1542.7,4.2293
004,1420.9,4.2842
005,1290.1,4.2842
006,1149,4.2293
007,996.4,4.1652
008,830.9,4.0895
009,650.8,3.9986
010,1805,3.959
011,1707,4.0526
012,1602.6,4.1308
013,1491.1,4.197
014,1371.8,4.2538
015,1243.9,4.2538
016,1106.4,4.197
017,958.1,4.1308
018,797.7,4.0526
019,623.7,3.959
020,1751.7,3.9202
021,1655.1,4.0165
022,1552.3,4.0969
023,1442.9,4.1652
024,1326,4.2239
025,1201,4.2239
026,1066.8,4.1652
027,922.6,4.0969
028,767,4.0165
029,598.7,3.9202
030,1701.4,3.8821
031,1606.2,3.9809
032,1505.2,4.0636
033,1397.7,4.1339
034,1283.2,4.1943
035,1160.9,4.1943
036,1030,4.1339
037,889.6,4.0636
038,738.6,3.9809
039,575.7,3.8821
040,1654,3.8448
041,1560.2,3.946
042,1460.8,4.0308
043,1355.2,4.103
044,1243,4.1652
045,1123.4,4.1652
046,995.6,4.103
047,858.9,4.0308
048,712.2,3.946
049,554.4,3.8448
050,1609.1,3.8082
051,1516.7,3.9117
052,1418.9,3.9986
053,1315.3,4.0727
054,1205.3,4.1365
055,1088.2,4.1365
056,963.5,4.0727
057,830.2,3.9986
058,687.6,3.9117
059,534.6,3.8082
060,1566.6,3.7723
061,1475.6,3.8779
062,1379.4,3.9669
063,1277.6,4.0427
064,1169.8,4.1082
065,1055.2,4.1082
066,933.3,4.0427
067,803.4,3.9669
068,664.7,3.8779
069,516.2,3.7723
070,1526.3,3.737
071,1436.6,3.8448
072,1342,3.9356
073,1242.1,4.0132
074,1136.3,4.0802
075,1024.1,4.0802
076,905,4.0132
077,778.3,3.9356
078,643.3,3.8448
079,499,3.737
080,1488,3.7024
081,1399.7,3.8122
082,1306.6,3.9049
083,1208.4,3.9841
084,1104.7,4.0526
085,994.8,4.0526
086,878.4,3.9841
087,754.7,3.9049
088,623.1,3.8122
089,482.9,3.7024
090,1451.6,3.6684
091,1364.6,3.7802
092,1273,3.8746
093,1176.6,3.9554
094,1074.8,4.0254
095,967.2,4.0254
096,853.3,3.9554
097,732.5,3.8746
098,604.3,3.7802
099,467.8,3.6684
100,1861.6,3.9981
101,1762.2,4.089
102,1656.2,4.1647
103,1542.7,4.2288
104,1420.9,4.2837
105,1290.1,4.2837
106,1149,4.2288
107,996.4,4.1647
108,830.9,4.089
109,650.8,3.9981
110,1805,3.9585
111,1707,4.0521
112,1602.6,4.1303
113,1491.1,4.1965
114,1371.8,4.2533
115,1243.9,4.2533
116,1106.4,4.1965
117,958.1,4.1303
118,797.7,4.0521
119,623.7,3.9585
120,1751.7,3.9197
121,1655.1,4.016
122,1552.3,4.0964
123,1442.9,4.1647
124,1326,4.2234
125,1201,4.2234
126,1066.8,4.1647
127,922.6,4.0964
128,767,4.016
129,598.7,3.9197
130,1701.4,3.8816
131,1606.2,3.9804
132,1505.2,4.0631
133,1397.7,4.1334
134,1283.2,4.1938
135,1160.9,4.1938
136,1030,4.1334
137,889.6,4.0631
138,738.6,3.9804
139,575.7,3.8816
140,1654,3.8443
141,1560.2,3.9455
142,1460.8,4.0303
143,1355.2,4.1025
144,1243,4.1647
145,1123.4,4.1647
146,995.6,4.1025
147,858.9,4.0303
148,712.2,3.9455
149,554.4,3.8443
150,1609.1,3.8077
151,1516.7,3.9112
152,1418.9,3.9981
153,1315.3,4.0721
